Country 1,Country 2,2015,2020,Absolute Change,Relative Change
Afghanistan,Afghanistan,"-5,400,916","-5,853,838","-452,922",-8%
Afghanistan,Argentina,9,9,0,0
Afghanistan,Australia,"49,550","60,879","11,329",0.23
Afghanistan,Austria,"41,725","47,602","5,877",0.14
Afghanistan,Azerbaijan,186,176,-10,-5%
Afghanistan,Bahrain,664,860,196,0.3
Afghanistan,Belarus,282,277,-5,-2%
Afghanistan,Belgium,"12,819","24,670","11,851",0.92
Afghanistan,Bolivia,2,1,-1,-50%
Afghanistan,Brazil,68,73,5,0.07
Afghanistan,Bulgaria,"3,438",426,"-3,012",-88%
Afghanistan,Canada,"51,641","55,954","4,313",0.08
Afghanistan,Costa Rica,4,4,0,0
Afghanistan,Cyprus,7,6,-1,-14%
Afghanistan,Czechia,418,484,66,0.16
Afghanistan,Denmark,"12,293","13,715","1,422",0.12
Afghanistan,Ecuador,112,167,55,0.49
Afghanistan,Egypt,135,210,75,0.56
Afghanistan,Estonia,26,65,39,1.5
Afghanistan,Finland,"4,623","7,019","2,396",0.52
Afghanistan,France,"6,510","35,348","28,838",4.43
Afghanistan,Georgia,40,40,0,0
Afghanistan,Germany,"82,361","250,444","168,083",2.04
Afghanistan,Greece,"5,810","45,293","39,483",6.8
Afghanistan,Guinea,3,1,-2,-67%
Afghanistan,Hungary,"9,411","1,816","-7,595",-81%
Afghanistan,Iceland,13,108,95,7.31
Afghanistan,India,"16,851","16,094",-757,-4%
Afghanistan,Iran,"2,621,236","2,710,601","89,365",0.03
Afghanistan,Iraq,312,314,2,0.01
Afghanistan,Ireland,148,168,20,0.14
Afghanistan,Israel,"2,539","2,464",-75,-3%
Afghanistan,Italy,"14,893","18,689","3,796",0.25
Afghanistan,Jordan,49,61,12,0.24
Afghanistan,Kuwait,"2,669","2,896",227,0.09
Afghanistan,Latvia,27,46,19,0.7
Afghanistan,Libya,319,340,21,0.07
Afghanistan,Liechtenstein,4,6,2,0.5
Afghanistan,Lithuania,20,41,21,1.05
Afghanistan,Luxembourg,0,433,433,
Afghanistan,Malaysia,545,"2,478","1,933",3.55
Afghanistan,Mali,473,553,80,0.17
Afghanistan,Micronesia (country),0,0,0,
Afghanistan,Namibia,42,44,2,0.05
Afghanistan,Netherlands,"32,735","36,418","3,683",0.11
Afghanistan,New Zealand,"2,540","3,827","1,287",0.51
Afghanistan,Nicaragua,61,62,1,0.02
Afghanistan,Norway,"13,124","17,242","4,118",0.31
Afghanistan,Pakistan,"1,710,378","1,598,223","-112,155",-7%
Afghanistan,Philippines,"1,220","1,297",77,0.06
Afghanistan,Poland,139,184,45,0.32
Afghanistan,Qatar,"1,571","1,599",28,0.02
Afghanistan,Romania,0,44,44,
Afghanistan,Russia,"5,095","5,090",-5,0%
Afghanistan,Saudi Arabia,"385,241","481,215","95,974",0.25
Afghanistan,Slovakia,155,194,39,0.25
Afghanistan,Slovenia,25,36,11,0.44
Afghanistan,South Africa,96,111,15,0.16
Afghanistan,Spain,458,615,157,0.34
Afghanistan,Sri Lanka,131,132,1,0.01
Afghanistan,Sweden,"53,678","53,306",-372,-1%
Afghanistan,Switzerland,"11,929","15,036","3,107",0.26
Afghanistan,Syria,"1,487","1,143",-344,-23%
Afghanistan,Tajikistan,"12,393","12,433",40,0
Afghanistan,Thailand,1,1,0,0
Afghanistan,Turkey,"94,002","117,595","23,593",0.25
Afghanistan,Turkmenistan,231,198,-33,-14%
Afghanistan,Ukraine,"4,812","4,891",79,0.02
Afghanistan,United Arab Emirates,"7,515","8,191",676,0.09
Afghanistan,United Kingdom,"45,516","51,376","5,860",0.13
Afghanistan,United States,"74,106","142,504","68,398",0.92
Albania,Albania,"-1,142,844","-1,250,451","-107,607",-9%
Albania,Argentina,66,66,0,0
Albania,Australia,"3,460","3,941",481,0.14
Albania,Austria,"3,230","4,398","1,168",0.36
Albania,Belgium,"9,380","11,937","2,557",0.27
Albania,Bolivia,2,1,-1,-50%
Albania,Bulgaria,990,"1,351",361,0.36
Albania,Canada,"15,270","16,544","1,274",0.08
Albania,Costa Rica,4,4,0,0
Albania,Croatia,173,160,-13,-8%
Albania,Cuba,1,0,-1,-100%
Albania,Cyprus,266,274,8,0.03
Albania,Czechia,309,487,178,0.58
Albania,Denmark,347,568,221,0.64
Albania,Ecuador,71,73,2,0.03
Albania,Egypt,77,119,42,0.55
Albania,Estonia,20,41,21,1.05
Albania,Finland,336,706,370,1.1
Albania,France,"6,967","8,925","1,958",0.28
Albania,Georgia,10,9,-1,-10%
Albania,Germany,"32,767","61,063","28,296",0.86
Albania,Greece,"436,566","446,614","10,048",0.02
Albania,Guinea,11,9,-2,-18%
Albania,Hungary,228,503,275,1.21
Albania,Iceland,45,220,175,3.89
Albania,Ireland,297,340,43,0.14
Albania,Italy,"444,887","486,187","41,300",0.09
Albania,Latvia,9,12,3,0.33
Albania,Libya,300,320,20,0.07
Albania,Liechtenstein,0,2,2,
Albania,Lithuania,4,28,24,6
Albania,Luxembourg,300,"1,058",758,2.53
Albania,Mali,"1,264","1,482",218,0.17
Albania,Malta,106,229,123,1.16
Albania,Micronesia (country),0,0,0,
Albania,Montenegro,"2,754","2,763",9,0
